input	text	baseline_text	method_text	ocr	baseline_dist	method_dist	u	baseline_accuracy	method_accuracy
011.jpg	LOREM IPSUM DOLOR SIT AMET		LOREM (°SUt« DOLCR $7 AMFT	1	26	9	26	0.0	0.6538461538461539
012.jpg	OCR TEST SIGNAL, IMAGE AND VIDEO		OCR TEST SIGNAL, IMAGE AND VINEO	1	32	1	32	0.0	0.96875
013.jpg	ARTIFICIAL INTELLIGENCE SYSTEMS		AZT'FICIAI INT=LLI GENCE SYSTEMS	1	31	5	31	0.0	0.8387096774193549
014.jpg	Writing on squared sheet		Writing on Seer tad abe et	1	24	10	24	0.0	0.5833333333333334
015.jpg	Italic writing		Italic wriling	1	14	1	14	0.0	0.9285714285714286
016.jpg	Signal, image and video		—_— - os ome	1	23	19	23	0.0	0.17391304347826086
017.jpg	OCR TEST ON LINED PAPER		WRTEST ON . Litt 2. Barer	1	23	16	23	0.0	0.30434782608695654
018.jpg	LOREM IPSUM DOLOR SIT AMET		__ LAREM IPSUM... DO ORLALL AMET. -	1	26	15	26	0.0	0.4230769230769231
019.jpg	MARIO ROSSI LEVICO, TN ITALY		MARIO ROSA |FWICO, TN ITALY	1	28	5	28	0.0	0.8214285714285714
020.jpg	Handwritten italic text.		Handrrultern thabic Lent.	1	24	9	24	0.0	0.625
