input	text
001.png	SNEHA PANDEY TSPDL
002.png	SANTOSH SONAWANE Trig Security Manager
003.jpg	etnia BARCELONA
004.jpg	NAPAPIJRI geographic
005.jpg	ELEGOO UNO R3 PROJECT Basic Starter Kit
006.jpg	Offerta Lampo Kindle eBook in offerta solo per 24 ore
007.jpg	SanDisk
008.jpg	DOUGLAS ADAMS GUIDA GALATTICA per gli AUTOSTOPPISTI il ciclo completo
009.jpg	
010.jpg	
011.jpg	LOREM IPSUM DOLOR SIT AMET
012.jpg	OCR TEST SIGNAL, IMAGE AND VIDEO
013.jpg	ARTIFICIAL INTELLIGENCE SYSTEMS
014.jpg	Writing on squared sheet
015.jpg	Italic writing
016.jpg	Signal, image and video
017.jpg	OCR TEST ON LINED PAPER
018.jpg	LOREM IPSUM DOLOR SIT AMET
019.jpg	MARIO ROSSI LEVICO, TN ITALY
020.jpg	Handwritten italic text.
