input	text	baseline_text	method_text	ocr	baseline_dist	method_dist	u	baseline_accuracy	method_accuracy
001.jpg	SNEHA PANDEY TSPDL	SNEHA PANDEY SS TSPDL Foe oe 	SNEHA PANDEY TSPDL	1	11	0	18	0.3888888888888889	1.0
002.jpg	SANTOSH SONAWANE Trig Security Manager	SANTOSH SONAWANE Trig 	SANTOSH SONAWANE Trig Security Manager	1	16	0	38	0.5789473684210527	1.0
003.jpg	STIAMO RECLUTANDO JETN! Hai voglia di	Hal voglia di 	(STIAMO RECLUTANDO Hai voglia di re	1	26	10	37	0.2972972972972973	0.7297297297297297
004.jpg	@jetn_trento JETN JETN www.jetn.it | info@jetn.it ENTRO IL 24 MARZO !	@jetn_trento JETN JETN www-.jetn.it | info@jetn.it ENTRO IL 24 MARZO! 	@jetn_trento JETN JETN www.jetn.it | info@jetn.it ENTRO IL 24 MARZO !	1	3	0	69	0.9565217391304348	1.0
005.jpg	ELEGOO UNO R3 PROJECT Basic Starter Kit	Basic Starter Kit 	UC RS PROJIEGCY Basic Starter Kit � = mm = �	1	23	24	39	0.41025641025641024	0.38461538461538464
006.jpg	Offerta Lampo Kindle eBook in offerta solo per 24 ore	�Book in offer 	eBook iN Offerta solo per 24 ore	1	39	23	53	0.2641509433962264	0.5660377358490566
007.jpg	SanDisk	 	Sandisk �	1	7	3	7	0.0	0.5714285714285714
008.jpg	DOUGLAS ADAMS GUIDA GALATTICA per gli AUTOSTOPPISTI il ciclo completo	GALATTICA �pen glii� ev 4 ~ AUTOSTOPPISTI it ciclo completo accra� Se :SsehCUS oO SO 	DOUGLAS ADAMS it ciclo completo �ye,	1	56	44	69	0.18840579710144928	0.36231884057971014
009.jpg	ABCD	 	ABCD	1	4	0	4	0.0	1.0
010.jpg	Scout CNGEI Siamo un'associazione scout laica, presente a Trento con 2 Gruppi (5 unit�) che coinvolgono bambini dagli 8 fino a ragazzi di 19 anni. Abbiamo bisogno di adulti volontari: se hai piacere, per saperne di pi�, scannerizza il QR code	che coinvolgono bambini dat 8 elalall fino! a ragazzi di 19 anni. Abbiamo bisogno di adulti volontari: se hai | piacere, per saperne di piu, scannerizza il ��~ \ QRcode Sl AU Wisi Soe 	Siamo un'associazione scout laica, presente a Trento con 2 Gruppi (5 unita) che coinvolgono bambini dagli 8 anni fino a ragazzi di 19 anni. Siamo un'associazione scout laica, presente a Trento con 2 Gruppi (5 unita) che coinvolgono bambini dagli 8 anni fino a ragazzi di 19 anni. Abbiamo bisogno di adulti volontari: se hai piacere, per saperne di piu, scannerizza i! OR code eeeenee	1	125	149	242	0.4834710743801653	0.384297520661157
