input	text	baseline_text	method_text	ocr	baseline_dist	method_dist
001.jpg	SNEHA PANDEY TSPDL	SNEHA PANDEY SS TSPDL Foe oe 	SNEHA PANDEY ~ TSPOL 	1	11	4
002.jpg	SANTOSH SONAWANE Trig Security Manager	SANTOSH SONAWANE Trig 	 	1	16	37
003.jpg	STIAMO RECLUTANDO JETN! Hai voglia di	Hal voglia di 	Hai voglia di Q. | 	1	26	30
004.jpg	@jetn_trento JETN JETN www.jetn.it | info@jetn.it ENTRO IL 24 MARZO !	@jetn_trento JETN JETN www-.jetn.it | info@jetn.it ENTRO IL 24 MARZO! 	. ofe JETM ” rancjotmnl | tate fetaR ENTIROMIEZCIMAR ZONE) fy 	1	3	49
005.jpg	ELEGOO UNO R3 PROJECT Basic Starter Kit	Basic Starter Kit 	PROJECT F Basic Starter (Ait 	1	23	19
006.jpg	Offerta Lampo Kindle eBook in offerta solo per 24 ore	€Book in offer 	Book in offerta Solo per 24 ore a \ \ _ 	1	39	32
007.jpg	SanDisk	 	\ MN ‘y 	1	7	8
008.jpg	DOUGLAS ADAMS GUIDA GALATTICA per gli AUTOSTOPPISTI il ciclo completo	GALATTICA —pen glii— ev 4 ~ AUTOSTOPPISTI it ciclo completo accra” Se :SsehCUS oO SO 	"We, ae a X om 7 ,™ eet \ - oe c . aren: 7 ""on . ‘ - DSS x Le { x . \ Sy \ NN . ‘ \ NN 7, y ‘\\ AUTOSTOPPISTI 1 cicha completa. COTO ES A TRV SRT RS "	1	56	115
009.jpg	ABCD	 	 	1	4	4
010.jpg	Scout CNGEI Siamo un'associazione scout laica, presente a Trento con 2 Gruppi (5 unità) che coinvolgono bambini dagli 8 fino a ragazzi di 19 anni. Abbiamo bisogno di adulti volontari: se hai piacere, per saperne di più, scannerizza il QR code	che coinvolgono bambini dat 8 elalall fino! a ragazzi di 19 anni. Abbiamo bisogno di adulti volontari: se hai | piacere, per saperne di piu, scannerizza il ¢¢~ \ QRcode Sl AU Wisi Soe 	a sagazzi di 9 anit. Abbiamo bisogno di ‘adulti volontari: se hai t piacere, per saperne di pit, scannerizza a sh s\ QRcode 	1	125	141
011.jpg	LOREM IPSUM DOLOR SIT AMET			0	-1	-1
012.jpg	OCR TEST SIGNAL, IMAGE AND VIDEO			0	-1	-1
013.jpg	ARTIFICIAL INTELLIGENCE SYSTEMS			0	-1	-1
014.jpg	Writing on squared sheet			0	-1	-1
015.jpg	Italic writing			0	-1	-1
016.jpg	Signal, image and video			0	-1	-1
017.jpg	OCR TEST ON LINED PAPER			0	-1	-1
018.jpg	LOREM IPSUM DOLOR SIT AMET			0	-1	-1
019.jpg	MARIO ROSSI LEVICO, TN ITALY			0	-1	-1
020.jpg	Handwritten italic text.			0	-1	-1
