input	text	baseline_text	method_text	ocr	baseline_dist	method_dist
001.jpg	SNEHA PANDEY TSPDL			0	-1	-1
002.jpg	SANTOSH SONAWANE Trig Security Manager			0	-1	-1
003.jpg	STIAMO RECLUTANDO JETN! Hai voglia di			0	-1	-1
004.jpg	@jetn_trento JETN JETN www.jetn.it | info@jetn.it ENTRO IL 24 MARZO !			0	-1	-1
005.jpg	ELEGOO UNO R3 PROJECT Basic Starter Kit			0	-1	-1
006.jpg	Offerta Lampo Kindle eBook in offerta solo per 24 ore			0	-1	-1
007.jpg	SanDisk			0	-1	-1
008.jpg	DOUGLAS ADAMS GUIDA GALATTICA per gli AUTOSTOPPISTI il ciclo completo			0	-1	-1
009.jpg	ABCD			0	-1	-1
010.jpg	Scout CNGEI Siamo un'associazione scout laica, presente a Trento con 2 Gruppi (5 unità) che coinvolgono bambini dagli 8 fino a ragazzi di 19 anni. Abbiamo bisogno di adulti volontari: se hai piacere, per saperne di più, scannerizza il QR code			0	-1	-1
011.jpg	LOREM IPSUM DOLOR SIT AMET	 	LOREM (°SUt« DOLCR $7 AMFT 	1	25	10
012.jpg	OCR TEST SIGNAL, IMAGE AND VIDEO	 	OCR TEST SIGNAL, IMAGE AND VINEO 	1	31	2
013.jpg	ARTIFICIAL INTELLIGENCE SYSTEMS	 	AZT'FICIAI INT=LLI GENCE SYSTEMS 	1	30	6
014.jpg	Writing on squared sheet	 	Writing on Seer tad abe et 	1	23	11
015.jpg	Italic writing	 	Italic wriling 	1	13	2
016.jpg	Signal, image and video	 	—_— - os ome 	1	22	19
017.jpg	OCR TEST ON LINED PAPER	 	WRTEST ON . Litt 2. Barer 	1	22	17
018.jpg	LOREM IPSUM DOLOR SIT AMET	 	__ LAREM IPSUM... DO ORLALL AMET. - 	1	25	16
019.jpg	MARIO ROSSI LEVICO, TN ITALY	 	MARIO ROSA |FWICO, TN ITALY 	1	27	6
020.jpg	Handwritten italic text.	 	Handrrultern thabic Lent. 	1	23	10
